id,fraud,name,email_id,phone_number,connection
1,0,Aditya Sharma,AdiSharma@gmail.com,9876614987,AdiSharma@gmail.com
2,1,Priya Patel,PriPatel@gmail.com,9842634348,AyuPatel@gmail.com
3,1,Priya Patel,PriPatel@gmail.com,9842634348,JhaKhanna@gmail.com
4,1,Arjun Singh,ArjSingh@gmail.com,9829992806,cam9534@virtualmail.com
5,1,Arjun Singh,ArjSingh@gmail.com,9829992806,RiySingh@ymail.com
6,0,Nisha Gupta,NisGupta@gmail.com,9823899308,NisGupta@gmail.com
7,0,Vikram Chatterjee,VikChatterjee@gmail.com,9847688193,VikChatterjee@gmail.com
8,0,Ayesha Khan,AyeKhan@gmail.com,9839330212,AyeKhan@gmail.com
9,0,Rajesh Khanna,RajKhanna@gmail.com,9888805195,RajKhanna@gmail.com
10,0,Meera Desai,MeeDesai@gmail.com,9835396468,MeeDesai@gmail.com
11,0,Siddharth Kapoor,SidKapoor@gmail.com,9864363931,SidKapoor@gmail.com
12,1,Anjali Joshi,AnjJoshi@gmail.com,9855787171,VirSharma@ymail.com
13,1,Anjali Joshi,AnjJoshi@gmail.com,9855787171,PriVerma@chrome.com
14,1,Anjali Joshi,AnjJoshi@gmail.com,9855787171,MeeReddy@gmail.com
15,1,Anjali Joshi,AnjJoshi@gmail.com,9855787171,VikKumar@gmail.com
16,1,Rohan Malhotra,RohMalhotra@gmail.com,9816452665,RohMalhotra@gmail.com
17,0,Pooja Mehta,PooMehta@gmail.com,9835123395,PooMehta@gmail.com
18,0,Rahul Verma,RahVerma@gmail.com,9821796978,RahVerma@gmail.com
19,0,Jaya Shah,JayShah@gmail.com,9892511865,JayShah@gmail.com
20,0,Devika Singh,san1234@virtualmail.com,9888323723,san1234@virtualmail.com
21,0,Aarav Kumar,fab3894@virtualmail.com,9942427844,fab3894@virtualmail.com
22,1,Nidhi Sharma,cam9534@virtualmail.com,9829992806,cam9534@virtualmail.com
23,0,Vikram Patel,san1234@virtualmail.com,9919987271,san1234@virtualmail.com
24,0,Sanaya Desai,san1234@virtualmail.com,9965515861,san1234@virtualmail.com
25,0,Rahul Malhotra,cam9534@virtualmail.com,9932638184,cam9534@virtualmail.com
26,0,Ananya Gupta,cam9534@virtualmail.com,9988168742,cam9534@virtualmail.com
27,0,Aditya Singh,cam9534@virtualmail.com,9996040894,cam9534@virtualmail.com
28,0,Meera Joshi,cam9534@virtualmail.com,9978734790,cam9534@virtualmail.com
29,0,Rohan Kapoor,fab3894@virtualmail.com,9931932095,fab3894@virtualmail.com
30,0,Kavya Shah,KavShah@gmail.com,9965022136,KavShah@gmail.com
31,0,Arjun Sharma,ArjSharma@gmail.com,9953938746,ArjSharma@gmail.com
32,0,Priya Khanna,PriKhanna@gmail.com,9960631568,PriKhanna@gmail.com
33,0,Yash Verma,YasVerma@gmail.com,9951534154,YasVerma@gmail.com
34,0,Aisha Chatterjee,AisChatterjee@gmail.com,9954320304,AisChatterjee@gmail.com
35,0,Siddharth Patel,SidPatel@gmail.com,9937100035,SidPatel@gmail.com
36,0,Divya Reddy,DivReddy@gmail.com,9971924451,DivReddy@gmail.com
37,1,Karan Sharma,KarSharma@gmail.com,9975410348,KarSharma@gmail.com
38,1,Maya Gupta,MayGupta@ymail.com,9961213554,MayGupta@ymail.com
39,0,Dev Patel,DevPatel@ymail.com,9988309673,DevPatel@ymail.com
40,1,Riya Singh,RiySingh@ymail.com,9829992806,RiySingh@ymail.com
41,1,Kabir Desai,KabDesai@ymail.com,9920757232,KabDesai@ymail.com
42,1,Ishita Mehta,IshMehta@ymail.com,9966475569,IshMehta@ymail.com
43,0,Neil Kapoor,NeiKapoor@ymail.com,9979391994,NeiKapoor@ymail.com
44,0,Natasha Singh,NatSingh@ymail.com,9934975432,NatSingh@ymail.com
45,0,Avinash Das,AviDas@ymail.com,9929718560,AviDas@ymail.com
46,0,Neha Shah,NehShah@ymail.com,9997427506,NehShah@ymail.com
47,0,Raj Malhotra,RajMalhotra@ymail.com,9928307596,RajMalhotra@ymail.com
48,0,Simran Khanna,SimKhanna@ymail.com,9999983630,SimKhanna@ymail.com
49,1,Sameer Jain,SamJain@ymail.com,9959526792,SamJain@ymail.com
50,0,Trisha Patel,TriPatel@ymail.com,9966735716,TriPatel@ymail.com
51,1,Virat Sharma,VirSharma@ymail.com,9855787171,VirSharma@ymail.com
52,0,Diya Verma,DiyVerma@ymail.com,8479501669,DiyVerma@ymail.com
53,0,Harish Kumar,HarKumar@ymail.com,8488719144,HarKumar@ymail.com
54,0,Juhi Gupta,JuhGupta@ymail.com,8416548553,JuhGupta@ymail.com
55,0,Rohit Singh,RohSingh@gmail.com,8470416125,RohSingh@gmail.com
56,0,Tara Kapoor,TarKapoor@gmail.com,8449279411,TarKapoor@gmail.com
57,0,Vivan Gupta,VivGupta@gmail.com,8464066775,VivGupta@gmail.com
58,0,Anjali Sharma,AnjSharma@gmail.com,8415621539,AnjSharma@gmail.com
59,1,Ayush Patel,AyuPatel@gmail.com,9842634348,AyuPatel@gmail.com
60,1,Jhanvi Khanna,JhaKhanna@gmail.com,9842634348,JhaKhanna@gmail.com
61,0,Veer Singh,VeeSingh@gmail.com,8478262808,VeeSingh@gmail.com
62,0,Ishaani Mehta,IshMehta@gmail.com,8452752363,IshMehta@gmail.com
63,0,Kabir Chatterjee,KabChatterjee@chrome.com,8414245781,KabChatterjee@chrome.com
64,0,Ritu Sharma,RitSharma@chrome.com,8437785519,RitSharma@chrome.com
65,0,Aryan Kapoor,AryKapoor@chrome.com,8476527034,AryKapoor@chrome.com
66,0,Preeti Patel,PrePatel@chrome.com,8432746278,PrePatel@chrome.com
67,0,Arnav Gupta,ArnGupta@chrome.com,8439976465,ArnGupta@chrome.com
68,0,Riyaan Desai,RiyDesai@chrome.com,8464610523,RiyDesai@chrome.com
69,0,Anisha Singh,AniSingh@chrome.com,8485587554,AniSingh@chrome.com
70,0,Aditi Joshi,AdiJoshi@chrome.com,8415384283,AdiJoshi@chrome.com
